id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2364247642,1,1,1,0,1
2527114426,30,1,1,3,1
2501448047,1331,722,30,2,12
2378535670,263,2462,10,3,8
2479017385,6,5,4,5,4
2484764326,1,1,1,1,1
2360037115,12,2,5,10,4
2291130401,2449,896,2,4,2
2611753535,2,1,1,0,1
2586452742,113,87,7,0,5
2276190602,1,22,1,2,1
2317522257,91,77,11,6,7
2479088081,2,2,1,1,1
2428769217,1,1,1,1,1
2341531996,11,10,1,2,1
2302830391,4,1,1,5,1
2611024831,4,1,3,2,2
2291668337,12,18,9,3,9
2328138753,342,217,17,15,8
2400710389,119,321,16,0,13
2409790549,123,7135,133,0,46
2480711893,45,21,5,2,4
2382029617,143,21,11,4,8
2460333618,159,91,12,5,4
2425388494,44,31,5,0,4
2475713525,7,2,6,1,5
2453183172,762,526,25,17,14
2300145783,3,0,1,7,1
2566495122,1465,1436,16,0,15
2577876946,18200,10044,17,16,10
2493371231,1037,271,31,0,21
2419649742,10,17,3,2,2
2401431822,9,0,1,4,1
2466300129,10,2,1,3,1
2512037249,203,119,18,16,11
2363957013,1,1,1,3,1
2342136665,10,5,1,2,1
2378231555,1,1,1,4,1
2429939175,2261,837,4,3,4
2623816668,26873,169,356,12,20
2503600094,4112,5572,122,0,40
2392989866,132,114,15,0,12
2615622364,24,29,9,2,3
2266521307,19,3,1,4,1
2433435668,3521,2137,129,0,48
2260782787,71,35,1,4,1
2367479638,76,35,14,2,11
2457374711,431,277,57,13,51
2306272041,88915,1617,492,0,60
2618385104,13292,1438,410,0,46
2321700555,6912,7223,109,0,35
2274590102,15,3,4,5,4
2419367788,3,3,1,0,1
2504680709,189,58,22,17,17
2362318850,193,14,10,5,7
2266301679,181,90,10,11,6
2431509521,8,14,4,3,4
2448918557,1,0,1,1,1
2339920154,7,7,2,2,2
2371701503,2,0,1,0,1
2447994117,344,113,17,0,16
2352606184,1,1,1,1,1
2327061220,65,5,2,4,2
2450134704,137,32,4,10,2
2450088130,86,3,1,4,1
2412739187,219,90,2,3,1
2358331791,9,3,1,1,1
2299211899,1536,461,2,3,1
2295564367,34,6,2,2,2
2599163398,356,0,1,2,1
2543250945,1534,376,2,3,1
2517434352,7411,1541,41,24,11
2608060402,96,720,25,2,10
2321077543,530,3,2,1,2
2466104282,15,1,2,1,1
2559732794,144,64,5,1,4
2601011916,851,24,5,7,5
2299423336,19,20,3,2,3
